Designator,Mid X,Mid Y,Rotation,Layer
C1,126.88525,-163.152,0.0,bottom
C10,152.966,-128.30825,270.0,bottom
C101,155.84525,-28.894,180.0,bottom
C103,156.21,-36.449,180.0,bottom
C11,179.008,-26.14575,90.0,bottom
C12,103.10775,-39.051,0.0,bottom
C13,103.251,-45.847,0.0,bottom
C2,125.45575,-143.086,0.0,bottom
C3,126.97975,-167.089,0.0,bottom
C4,143.23975,-23.43,0.0,bottom
C5,141.36725,-37.276,180.0,bottom
C6,152.839,-112.94125,270.0,bottom
C7,152.712,-142.78625,270.0,bottom
C8,124.01,-127.80025,270.0,bottom
C9,167.698,-127.80025,270.0,bottom
IC1,115.947,-141.392097,0.0,bottom
J2,182.368,-107.835,0.0,bottom
R1,130.171,-151.914,180.0,bottom
R101,132.08,-31.75,0.0,bottom
R11,104.14,-140.589,0.0,top
R12,172.974,-33.782,0.0,bottom
R2,140.585,-157.756,180.0,bottom
R3,113.915,-149.501,0.0,bottom
R4,113.788,-153.672903,180.0,bottom
R5,113.915,-158.518,0.0,bottom
SW1,170.178,-26.162,0.0,bottom
SW101,145.975,-112.91,180.0,top
SW102,145.975,-142.91,180.0,top
SW103,130.975,-127.91,180.0,top
SW104,160.975,-127.91,180.0,top
SW105,145.975,-127.91,180.0,top
TP2,109.978,-134.52,0.0,bottom
TP3,165.35,-152.168,0.0,bottom
TP4,117.471,-98.066,0.0,bottom
TP5,109.978,-98.071,0.0,bottom
TP6,113.788,-98.071,0.0,bottom
TP7,134.366,-25.527,270.0,bottom
U1,113.915,-121.307,180.0,bottom
U101,146.2935,-114.83,180.0,bottom
U102,118.4305,-26.035,0.0,bottom
U2,143.706,-72.771,270.0,top
U3,145.542,-30.099,0.0,bottom
U4,137.918,-165.376,180.0,bottom
